id;Тема;Тип задачи;full_text;processed_text;target_encoded
2972;Командировка ПУ № Л00000921 для Королева Маргарита Вадимовна;Заявка на билет и проживание;Командировка ПУ № Л00000921 для Королева Маргарита Вадимовна;командировка королева маргарита вадимович;7
2973;Права для доски Jira;Запрос на обслуживание;Права для доски Jira;право доска jira;6
2974;бронь ресурса;Запрос на обслуживание;бронь ресурса;бронь ресурс;6
2975;Не корректная работа автоматизации YK_ATG_Auto_Assign;Запрос на обслуживание;Не корректная работа автоматизации YK_ATG_Auto_Assign;корректный работа автоматизация atg auto assign;6
2976;Настройка samba шар c авторизацией в AD;Запрос на обслуживание;Настройка samba шар c авторизацией в AD;настройка samba шар авторизация;6
2977;Не работает VPN;Запрос на обслуживание;Не работает VPN;работать vpn;6
2978;заменить стационарный компьютер на ноутбук;Запрос на обслуживание;заменить стационарный компьютер на ноутбук;заменить стационарный компьютер ноутбук;6
2979;jira.aisubp.ru Включение в группу Teamleader (Вадим Аитбаев);Запрос на обслуживание;jira.aisubp.ru Включение в группу Teamleader (Вадим Аитбаев);jira aisubp включение группа teamleader вадим аитбай;6
2980;представление Монитора событий в ПУ для учетной записи ГД;Запрос на обслуживание;представление Монитора событий в ПУ для учетной записи ГД;представление монитор событие учётный запись;6
2981;Пропал доступ к яндекс диску ;Запрос на обслуживание;Пропал доступ к яндекс диску ;пропасть доступ яндекс диск;6
2982;Доступ в confluence;Запрос на обслуживание;Доступ в confluence;доступ confluence;6
2983;RDP до ноута;Запрос на обслуживание;RDP до ноута;rdp ноут;6
2984;помощь Кузнецовой Валерии;Запрос на обслуживание;помощь Кузнецовой Валерии;помощь кузнецов валерий;6
2985;Гостевой пропуск для Полукаров Владимир;Заказ гостевого пропуска;Гостевой пропуск для Полукаров Владимир;гостевой пропуск полукаров владимир;5
2986;Присоединение файлов к сотруднику. СРОЧНО!;Запрос на обслуживание;Присоединение файлов к сотруднику. СРОЧНО!;присоединение файл сотрудник срочно;6
2987;ШЕ удалить;Запрос на обслуживание;ШЕ удалить;удалить;6
2988;JIRA, бронирование ресурса, доступ;Запрос на обслуживание;JIRA, бронирование ресурса, доступ;jira бронирование ресурс доступ;6
2989;Доступ к контрактам/договорам в СЭД для редактирования;Запрос на обслуживание;Доступ к контрактам/договорам в СЭД для редактирования;доступ контракт договор сэд редактирование;6
2990;Нужна Настройка звука на доп мониторе при подключении к ВКС;Запрос на обслуживание;Нужна Настройка звука на доп мониторе при подключении к ВКС;нужный настройка звук доп монитор подключение вкс;6
2991;Отсутствие доступа к группе почтовых рассылок;Запрос на обслуживание;Отсутствие доступа к группе почтовых рассылок;отсутствие доступ группа почтовый рассылка;6
2992;Доступ к корпоративному Wi-Fi (+Avanpost);Запрос на обслуживание;Доступ к корпоративному Wi-Fi (+Avanpost);доступ корпоративный avanpost;6
2993;СРОЧНО! Ошибка при отправке актов приема передачи из ЗУП 3.1 в HRL новым способом ;Запрос на обслуживание;СРОЧНО! Ошибка при отправке актов приема передачи из ЗУП 3.1 в HRL новым способом ;срочно ошибка отправка акт приём передача зуп hrl новый способ;6
2994;Новый процесс привлечения к работе в выходные дни и сверхурочной работе;Запрос на обслуживание;Новый процесс привлечения к работе в выходные дни и сверхурочной работе;новый процесс привлечение работа выходной день сверхурочный работа;6
2995;Подготовить ноутбук БФТ для работы с площадкой площадкой АСТ ГОЗ.;Запрос на обслуживание;Подготовить ноутбук БФТ для работы с площадкой площадкой АСТ ГОЗ.;подготовить ноутбук бфт работа площадка площадка аста гоз;6
2996;Устранение уязвимости CVE-2021-36942;Запрос на обслуживание;Устранение уязвимости CVE-2021-36942;устранение уязвимость cve;6
2997;Установка ПО;Запрос на обслуживание;Установка ПО;установка;6
2998;мышка;Запрос на обслуживание;мышка;мышка;6
2999; ВПН не подключается. Пользователь заблокирован. ;Запрос на обслуживание; ВПН не подключается. Пользователь заблокирован. ;впн подключаться пользователь заблокировать;6
3000;Заблокирована УЗ Сомовой А. В.;Запрос на обслуживание;Заблокирована УЗ Сомовой А. В.;заблокировать сомовый;6
3001;Не удается войти в ресурсы компании. ВПН не подключается.;Запрос на обслуживание;Не удается войти в ресурсы компании. ВПН не подключается.;удаваться войти ресурс компания впн подключаться;6
3002;Не удается получить ссылку на комнату в Толк при создании встречи из MS Outlook;Запрос на обслуживание;Не удается получить ссылку на комнату в Толк при создании встречи из MS Outlook;удаваться получить ссылка комната толк создание встреча outlook;6
3003;FW: Рекомендации ФСТЭК России 240/93/2444 (71);Запрос на обслуживание;FW: Рекомендации ФСТЭК России 240/93/2444 (71);рекомендация фстэк россия;6
3004;Каждый день выходит на утверждение одна и та же строка в ПУ (Передано на л2 PU-6907);Запрос на обслуживание;Каждый день выходит на утверждение одна и та же строка в ПУ (Передано на л2 PU-6907);каждый день выходить утверждение один строка передать;6
3005;Установка ПО на ПК;Запрос на обслуживание;Установка ПО на ПК;установка;6
3006;Ответ на ваш вопрос: НДФЛ по прогрессивной шкале и разные регистрации ИФНС;Запрос на обслуживание;Ответ на ваш вопрос: НДФЛ по прогрессивной шкале и разные регистрации ИФНС;ответ ваш вопрос ндфл прогрессивный шкала разный регистрация ифнс;6
3007;"Прошу решить проблему с отображением кнопки ""Отметить работу"" в JIRA в задаче https://jira.bftcom.com/browse/JIRP-247176";Запрос на обслуживание;"Прошу решить проблему с отображением кнопки ""Отметить работу"" в JIRA в задаче https://jira.bftcom.com/browse/JIRP-247176";просить решить проблема отображение кнопка отметить работа jira задача;6
3008;Джира эджайл, нет возможности поменять статус у ресурса в команде;Запрос на обслуживание;Джира эджайл, нет возможности поменять статус у ресурса в команде;джир эджайла возможность поменять статус ресурс команда;6
3009;Командировка ПУ № Л00000899 для Неверовская Альбина Салаватовна;Заявка на билет и проживание;Командировка ПУ № Л00000899 для Неверовская Альбина Салаватовна;командировка неверовскай альбина салаватович;7
3010;Командировка ПУ № Л00000898 для Калинина Елизавета Андреевна;Заявка на билет и проживание;Командировка ПУ № Л00000898 для Калинина Елизавета Андреевна;командировка калинин елизавета андреевич;7
3011;Командировка ПУ № Л00000890 для Рахимов Марсель Радикович;Заявка на билет и проживание;Командировка ПУ № Л00000890 для Рахимов Марсель Радикович;командировка рахимов марсель радикович;7
3012;Командировка ПУ № Л00000892 для Казиев Ислам Асланович;Заявка на билет и проживание;Командировка ПУ № Л00000892 для Казиев Ислам Асланович;командировка казиев ислам асланович;7
3013;Джира эджайл. Завышенная мощность в представлении «Ресурсное планирование: орг. единицы».;Запрос на обслуживание;Джира эджайл. Завышенная мощность в представлении «Ресурсное планирование: орг. единицы».;джир эджайла завысить мощность представление ресурсный планирование орг единица;6
3014;Предоставление второго монитора;Запрос на обслуживание;Предоставление второго монитора;предоставление второй монитор;6
3015;ПУ_переутверждение лимитов в проекте 11556.Партнерский продукт.Развитие_Витрин_2025_Федеральное казначейство;Запрос на обслуживание;ПУ_переутверждение лимитов в проекте 11556.Партнерский продукт.Развитие_Витрин_2025_Федеральное казначейство;переутверждение лимит проект партнёрский продукт развитие витрина федеральный казначейство;6
3016;ДИТ. Создание УЗ - Андрушкевич Елизавета Андреевна;Подзадача;ДИТ. Создание УЗ - Андрушкевич Елизавета Андреевна;дит создание андрушкевич елизавета андреевич;12
3017;Оборудование - Андрушкевич Елизавета Андреевна 8/25/25 ;Подзадача;Оборудование - Андрушкевич Елизавета Андреевна 8/25/25 ;оборудование андрушкевич елизавета андреевич;12
3018;Календарь - Андрушкевич Елизавета Андреевна;HR: Приём;Календарь - Андрушкевич Елизавета Андреевна;календарь андрушкевич елизавета андреевич;1
3019;Бухгалтерия. Сформировать акт приема-передачи для Андрушкевич Елизавета Андреевна , 8/25/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Андрушкевич Елизавета Андреевна , 8/25/25;бухгалтерия сформировать акт приём передача андрушкевич елизавета андреевич;12
3020;АХО. Уведомление о выходе сотрудника Андрушкевич Елизавета Андреевна , 8/25/25;Подзадача;АХО. Уведомление о выходе сотрудника Андрушкевич Елизавета Андреевна , 8/25/25;ахо уведомление выход сотрудник андрушкевич елизавета андреевич;12
3021;ДТиОР. Доступ ПУ - Андрушкевич Елизавета Андреевна;Подзадача;ДТиОР. Доступ ПУ - Андрушкевич Елизавета Андреевна;дтиор доступ андрушкевич елизавета андреевич;12
3022;ДТиОР. Доступ СЭД - Андрушкевич Елизавета Андреевна;Подзадача;ДТиОР. Доступ СЭД - Андрушкевич Елизавета Андреевна;дтиор доступ сэд андрушкевич елизавета андреевич;12
3023;Другие доступы - Андрушкевич Елизавета Андреевна;Подзадача;Другие доступы - Андрушкевич Елизавета Андреевна;другой доступ андрушкевич елизавета андреевич;12
3024;1С нужен доступ к отчету;Запрос на обслуживание;1С нужен доступ к отчету;нужный доступ отчёт;6
3025;[Выход] 25.08.2025 Андрушкевич Елизавета Андреевна (Москва);Заявка на выход сотрудника;[Выход] 25.08.2025 Андрушкевич Елизавета Андреевна (Москва);выход андрушкевич елизавета андреевич москва;8
3026;Не работает микрофон и динамики ;Запрос на обслуживание;Не работает микрофон и динамики ;работать микрофон динамика;6
3027;Командировка ПУ № Л00000907 для Горбачёва Дарья Владимировна;Заявка на билет и проживание;Командировка ПУ № Л00000907 для Горбачёва Дарья Владимировна;командировка горбачёв дарья владимирович;7
3028;Командировка ПУ № Л00000906 для Новомлинский Юрий Олегович;Заявка на билет и проживание;Командировка ПУ № Л00000906 для Новомлинский Юрий Олегович;командировка новомлинский юрий олегович;7
3029;Командировка ПУ № Л00000904 для Латыпов Ринат Маратович;Заявка на билет и проживание;Командировка ПУ № Л00000904 для Латыпов Ринат Маратович;командировка латып ринат маратович;7
3030;Командировка ПУ № Л00000901 для Федорова Ирина Леонидовна;Заявка на билет и проживание;Командировка ПУ № Л00000901 для Федорова Ирина Леонидовна;командировка фёдоров ирина леонидович;7
3031;Командировка ПУ № Л00000900 для Ларионов Филипп Станиславович;Заявка на билет и проживание;Командировка ПУ № Л00000900 для Ларионов Филипп Станиславович;командировка ларионов филипп станиславович;7
3032;Смена персональных данных;Запрос на обслуживание;Смена персональных данных;смена персональный данные;6
3033;Командировка ПУ № Л00000897 для Минулина Алия Ахтамовна;Заявка на билет и проживание;Командировка ПУ № Л00000897 для Минулина Алия Ахтамовна;командировка минулин алий ахтамович;7
3034;Командировка ПУ № Л00000896 для Ларионов Олег Дмитриевич;Заявка на билет и проживание;Командировка ПУ № Л00000896 для Ларионов Олег Дмитриевич;командировка ларионов олег дмитриевич;7
3035;Ремонт регулятора стула;Запрос на обслуживание;Ремонт регулятора стула;ремонт регулятор стул;6
3036;Смена куратора ДРК в ПУ по проектам НСПД и Геопортал;Запрос на обслуживание;Смена куратора ДРК в ПУ по проектам НСПД и Геопортал;смена куратор дрк проект нспд геопортал;6
3037;Замещение в ПУ;Запрос на обслуживание;Замещение в ПУ;замещение;6
3038;Заказ визиток по графику для Макаров Василий Валентинович;Заказ визиток;Заказ визиток по графику для Макаров Василий Валентинович;заказ визитка график макаров василий валентинович;4
3039;Доступ в отчёт PBI;Запрос на обслуживание;Доступ в отчёт PBI;доступ отчёт pbi;6
3040;Нужен доступ к Я.Диску;Запрос на обслуживание;Нужен доступ к Я.Диску;нужный доступ диск;6
3041;Недоступность ресурсов ;Запрос на обслуживание;Недоступность ресурсов ;недоступность ресурс;6
3042;Изготовление визиток;Запрос на обслуживание;Изготовление визиток;изготовление визитка;6
3043;Права в конфлюенс;Запрос на обслуживание;Права в конфлюенс;право конфлюенс;6
3044;Выдать права администратора на проекты в джира;Запрос на обслуживание;Выдать права администратора на проекты в джира;выдать право администратор проект джир;6
3045;Настройка в ПУ для оформления заявки на забор документов;Запрос на обслуживание;Настройка в ПУ для оформления заявки на забор документов;настройка оформление заявка забор документ;6
3046;Техническое увольнение Рубцова Ольга Юрьевна  . БФТ;HR: Техническое увольнение;Техническое увольнение Рубцова Ольга Юрьевна  . БФТ;технический увольнение рубцов ольга юриевич бфт;2
3047;ДИТ. Создание УЗ - Благовещенский Артём Эдуардович;Подзадача;ДИТ. Создание УЗ - Благовещенский Артём Эдуардович;дит создание благовещенский артём эдуардович;12
3048;Оборудование - Благовещенский Артём Эдуардович 8/26/25 ;Подзадача;Оборудование - Благовещенский Артём Эдуардович 8/26/25 ;оборудование благовещенский артём эдуардович;12
3049;Календарь - Благовещенский Артём Эдуардович;HR: Приём;Календарь - Благовещенский Артём Эдуардович;календарь благовещенский артём эдуардович;1
3050;Бухгалтерия. Сформировать акт приема-передачи для Благовещенский Артём Эдуардович , 8/26/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Благовещенский Артём Эдуардович , 8/26/25;бухгалтерия сформировать акт приём передача благовещенский артём эдуардович;12
3051;АХО. Уведомление о выходе сотрудника Благовещенский Артём Эдуардович , 8/26/25;Подзадача;АХО. Уведомление о выходе сотрудника Благовещенский Артём Эдуардович , 8/26/25;ахо уведомление выход сотрудник благовещенский артём эдуардович;12
3052;Лицензия Касперский;Запрос на обслуживание;Лицензия Касперский;лицензия касперский;6
3053;Новый пользователь JiraSD, проект 9284;Запрос на обслуживание;Новый пользователь JiraSD, проект 9284;новый пользователь jirasd проект;6
3054;[Выход] 26.08.2025 Благовещенский Артём Эдуардович (Калининград);Заявка на выход сотрудника;[Выход] 26.08.2025 Благовещенский Артём Эдуардович (Калининград);выход благовещенский артём эдуардович калининград;8
3055;ДФ. Проверить расходы на мобильную связь - Рожнев Олег Александрович;Подзадача увольнение;ДФ. Проверить расходы на мобильную связь - Рожнев Олег Александрович;проверить расход мобильный связь рожнев олег александрович;14
3056;ДРК. Проверить выпущенные доверенности - Рожнев Олег Александрович;Подзадача увольнение;ДРК. Проверить выпущенные доверенности - Рожнев Олег Александрович;дрк проверить выпустить доверенность рожнев олег александрович;14
3057;ДФ. Проверить незакрытые командировочные расходы - Рожнев Олег Александрович;Подзадача увольнение;ДФ. Проверить незакрытые командировочные расходы - Рожнев Олег Александрович;проверить незакрытый командировочный расход рожнев олег александрович;14
3058;ПД. Проверить выпущенные доверенности - Рожнев Олег Александрович;Подзадача увольнение;ПД. Проверить выпущенные доверенности - Рожнев Олег Александрович;проверить выпустить доверенность рожнев олег александрович;14
3059;ЮУ. Проверить выпущенные доверенности - Рожнев Олег Александрович;Подзадача увольнение;ЮУ. Проверить выпущенные доверенности - Рожнев Олег Александрович;проверить выпустить доверенность рожнев олег александрович;14
3060;АХО. Разобрать рабочее место - Рожнев Олег Александрович;Подзадача увольнение;АХО. Разобрать рабочее место - Рожнев Олег Александрович;ахо разобрать рабочий место рожнев олег александрович;14
3061;АХО. Моб. связь, парковочный талон - Рожнев Олег Александрович;Подзадача увольнение;АХО. Моб. связь, парковочный талон - Рожнев Олег Александрович;ахо моб связь парковочный талон рожнев олег александрович;14
3062;АХО. Уведомление об увольнении - Рожнев Олег Александрович;Подзадача увольнение;АХО. Уведомление об увольнении - Рожнев Олег Александрович;ахо уведомление увольнение рожнев олег александрович;14
3063;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Рожнев Олег Александрович, БФТ;Подзадача увольнение;ДИТ L2. Наличие ВМ, облака и сетевых папок за сотрудником - Рожнев Олег Александрович, БФТ;дит наличие облако сетевой папка сотрудник рожнев олег александрович бфт;14
3064;ДИТ L2. VPN - Рожнев Олег Александрович, БФТ;Подзадача увольнение;ДИТ L2. VPN - Рожнев Олег Александрович, БФТ;дит vpn рожнев олег александрович бфт;14
3065;ДИТ. Отключение УЗ - Рожнев Олег Александрович, БФТ;Подзадача увольнение;ДИТ. Отключение УЗ - Рожнев Олег Александрович, БФТ;дит отключение рожнев олег александрович бфт;14
3066;HR. Бронирование - Рожнев Олег Александрович;Подзадача увольнение;HR. Бронирование - Рожнев Олег Александрович;бронирование рожнев олег александрович;14
3067;HR. ДМС - Рожнев Олег Александрович;Подзадача увольнение;HR. ДМС - Рожнев Олег Александрович;дмс рожнев олег александрович;14
3068;HR. Долги по обучению, аккаунт BFTraining - Рожнев Олег Александрович;Подзадача увольнение;HR. Долги по обучению, аккаунт BFTraining - Рожнев Олег Александрович;долг обучение аккаунт bftraining рожнев олег александрович;14
3069;ДТиОР. Передать списки во FriendWork - Рожнев Олег Александрович;Подзадача увольнение;ДТиОР. Передать списки во FriendWork - Рожнев Олег Александрович;дтиор передать список friendwork рожнев олег александрович;14
3070;ДТиОР. Установить замещение в СЭД - Рожнев Олег Александрович;Подзадача увольнение;ДТиОР. Установить замещение в СЭД - Рожнев Олег Александрович;дтиор установить замещение сэд рожнев олег александрович;14
3071;Служба безопасности. Увольнение - Рожнев Олег Александрович;Подзадача увольнение;Служба безопасности. Увольнение - Рожнев Олег Александрович;служба безопасность увольнение рожнев олег александрович;14
3072;ФинДеп. Уволить в ПУ - Рожнев Олег Александрович;Подзадача увольнение;ФинДеп. Уволить в ПУ - Рожнев Олег Александрович;финдеп уволить рожнев олег александрович;14
3073;Бухгалтерия. Акт возврата - Рожнев Олег Александрович;Подзадача увольнение;Бухгалтерия. Акт возврата - Рожнев Олег Александрович;бухгалтерия акт возврат рожнев олег александрович;14
3074;Оборудование - Рожнев Олег Александрович, БФТ;Подзадача основные средства;Оборудование - Рожнев Олег Александрович, БФТ;оборудование рожнев олег александрович бфт;13
3075;Увольнение Рожнев Олег Александрович  . БФТ;HR: Увольнение;Увольнение Рожнев Олег Александрович  . БФТ;увольнение рожнев олег александрович бфт;3
3076;HR. Внести изменения в ДМС - Савельева Азиза Галимовна;Подзадача;HR. Внести изменения в ДМС - Савельева Азиза Галимовна;внести изменение дмс савельев азиза галимович;12
3077;Бухгалтерия. Изменение ФИО - Савельева Азиза Галимовна;Подзадача;Бухгалтерия. Изменение ФИО - Савельева Азиза Галимовна;бухгалтерия изменение фио савельев азиза галимович;12
3078;ФинДеп. Изменение ФИО - Савельева Азиза Галимовна;Подзадача;ФинДеп. Изменение ФИО - Савельева Азиза Галимовна;финдеп изменение фио савельев азиза галимович;12
3079;АХО. Изменение ФИО - Савельева Азиза Галимовна;Подзадача;АХО. Изменение ФИО - Савельева Азиза Галимовна;ахо изменение фио савельев азиза галимович;12
3080;HRBP. Изменение ФИО - Савельева Азиза Галимовна;Подзадача;HRBP. Изменение ФИО - Савельева Азиза Галимовна;hrbp изменение фио савельев азиза галимович;12
3081;ДИТ. Обновить данные в АД - Савельева Азиза Галимовна;Подзадача;ДИТ. Обновить данные в АД - Савельева Азиза Галимовна;дит обновить дать савельев азиза галимович;12
3082;Смена ПД Савельева Азиза Галимовна БФТ.Цифровой регион;Изменение персональных данных;Смена ПД Савельева Азиза Галимовна БФТ.Цифровой регион;смена савельев азиза галимович бфт цифровой регион;10
3083;Бухгалтерия. Изменение даты увольнения Ахмадыршин Виктор Павлович;Подзадача увольнение;Бухгалтерия. Изменение даты увольнения Ахмадыршин Виктор Павлович;бухгалтерия изменение дата увольнение ахмадыршин виктор павлович;14
3084;Предоставление права редактирования страницы в Confluence;Запрос на обслуживание;Предоставление права редактирования страницы в Confluence;предоставление право редактирование страница confluence;6
3085;Предоставить доступ к Ядиску;Запрос на обслуживание;Предоставить доступ к Ядиску;предоставить доступ ядиск;6
3086;Недоступна ВМ;Запрос на обслуживание;Недоступна ВМ;недоступный;6
3087;Обновление ОС;Запрос на обслуживание;Обновление ОС;обновление;6
3088;"Confluence, права на редактирование страницы ""Распределение регионов между кураторами ДРК и ДП""";Запрос на обслуживание;"Confluence, права на редактирование страницы ""Распределение регионов между кураторами ДРК и ДП""";confluence право редактирование страница распределение регион куратор дрк;6
3089;Не доступна ВМ;Запрос на обслуживание;Не доступна ВМ;доступный;6
3090;Доступ dapr-gitlab-users;Запрос на обслуживание;Доступ dapr-gitlab-users;доступ dapr gitlab users;6
3091;Настроить яркость монитора;Запрос на обслуживание;Настроить яркость монитора;настроить яркость монитор;6
3092;доступ в RAncher и GrayLog;Запрос на обслуживание;доступ в RAncher и GrayLog;доступ rancher graylog;6
3093;Доступ к сайтам https://mesh-java.dev.ecp/, https://mesh-java.uat.ecp без ограничений со стороны бразуеров;Запрос на обслуживание;Доступ к сайтам https://mesh-java.dev.ecp/, https://mesh-java.uat.ecp без ограничений со стороны бразуеров;доступ сайт ограничение сторона бразуер;6
3094;Не работает камера на ноутбуке.;Запрос на обслуживание;Не работает камера на ноутбуке.;работать камера ноутбук;6
3095;Очистка локального склада Ростов-на-Дону (ДИТ);Запрос на обслуживание;Очистка локального склада Ростов-на-Дону (ДИТ);очистка локальный склад ростов дон дит;6
3096;Тестовый стенд для потенциальных Клиентов;Запрос на обслуживание;Тестовый стенд для потенциальных Клиентов;тестовый стенд потенциальный клиент;6
3097;Установить проектный учет ;Запрос на обслуживание;Установить проектный учет ;установить проектный учёт;6
3098;Замена лампы в светильнике;Запрос на обслуживание;Замена лампы в светильнике;замена лампа светильник;6
3099;Установить ассистент на рабочий ПК.;Запрос на обслуживание;Установить ассистент на рабочий ПК.;установить ассистент рабочий;6
3100;Приложение мах;Запрос на обслуживание;Приложение мах;приложение мах;6
3101;Завести проект ФО3.4 в jira;Запрос на обслуживание;Завести проект ФО3.4 в jira;завести проект jira;6
3102;Выгрузка кандидатов из FW;Запрос на обслуживание;Выгрузка кандидатов из FW;выгрузка кандидат;6
3103;ДИТ. Создание УЗ - Дреняев Максим Сергеевич;Подзадача;ДИТ. Создание УЗ - Дреняев Максим Сергеевич;дит создание дреняев максим сергеевич;12
3104;Оборудование - Дреняев Максим Сергеевич 8/26/25 ;Подзадача;Оборудование - Дреняев Максим Сергеевич 8/26/25 ;оборудование дреняев максим сергеевич;12
3105;Календарь - Дреняев Максим Сергеевич;HR: Приём;Календарь - Дреняев Максим Сергеевич;календарь дреняев максим сергеевич;1
3106;Бухгалтерия. Сформировать акт приема-передачи для Дреняев Максим Сергеевич , 8/26/25;Подзадача;Бухгалтерия. Сформировать акт приема-передачи для Дреняев Максим Сергеевич , 8/26/25;бухгалтерия сформировать акт приём передача дреняев максим сергеевич;12
3107;АХО. Уведомление о выходе сотрудника Дреняев Максим Сергеевич , 8/26/25;Подзадача;АХО. Уведомление о выходе сотрудника Дреняев Максим Сергеевич , 8/26/25;ахо уведомление выход сотрудник дреняев максим сергеевич;12
3108;[Выход] 26.08.2025 Дреняев Максим Сергеевич (Нижний Новгород);Заявка на выход сотрудника;[Выход] 26.08.2025 Дреняев Максим Сергеевич (Нижний Новгород);выход дреняев максим сергеевич нижний новгород;8
3109;доступ сотрудника к https://sc-asugf.itsm.mos.ru/;Запрос на обслуживание;доступ сотрудника к https://sc-asugf.itsm.mos.ru/;доступ сотрудник;6
3110;Создание ВМ для EO-113670;Запрос на обслуживание;Создание ВМ для EO-113670;создание;6
3111;Создание ВМ для EO-113938;Запрос на обслуживание;Создание ВМ для EO-113938;создание;6
3112;Группы рассылок;Запрос на обслуживание;Группы рассылок;группа рассылка;6
3113;Некорректные подразделения у сотрудников на корпоративном портале;Запрос на обслуживание;Некорректные подразделения у сотрудников на корпоративном портале;некорректный подразделение сотрудник корпоративный портал;6
3114;В связи с необходимостью осуществления рабочих процессов, просьба установить на мой ПК Microsoft Visio;Запрос на обслуживание;В связи с необходимостью осуществления рабочих процессов, просьба установить на мой ПК Microsoft Visio;связь необходимость осуществление рабочий процесс просьба установить microsoft visio;6
3115;Доступ до srv-linux-irk с VDI;Запрос на обслуживание;Доступ до srv-linux-irk с VDI;доступ srv linux irk vdi;6
3116;Бухгалтерия, РТК - акт выдачи в связи с переводом Салмин Артур Григорьевич;Подзадача;Бухгалтерия, РТК - акт выдачи в связи с переводом Салмин Артур Григорьевич;бухгалтерия ртк акт выдача связь перевод салмин артур григориевич;12
3117;Бухгалтерия, БФТ.Цифровой регион - акт возврата в связи с переводом Салмин Артур Григорьевич;Подзадача;Бухгалтерия, БФТ.Цифровой регион - акт возврата в связи с переводом Салмин Артур Григорьевич;бухгалтерия бфт цифровой регион акт возврат связь перевод салмин артур григориевич;12
3118;HR - ДМС в связи с переводом Салмин Артур Григорьевич;Подзадача;HR - ДМС в связи с переводом Салмин Артур Григорьевич;дмс связь перевод салмин артур григориевич;12
3119;АХО - Моб. связь в связи с переводом Салмин Артур Григорьевич;Подзадача;АХО - Моб. связь в связи с переводом Салмин Артур Григорьевич;ахо моб связь связь перевод салмин артур григориевич;12
3120;ДИТ - Переместить технику в связи с переводом Салмин Артур Григорьевич;Подзадача;ДИТ - Переместить технику в связи с переводом Салмин Артур Григорьевич;дит переместить техника связь перевод салмин артур григориевич;12
3121;ДИТ - Изменить данные в AD в связи с переводом Салмин Артур Григорьевич;Подзадача;ДИТ - Изменить данные в AD в связи с переводом Салмин Артур Григорьевич;дит изменить дать связь перевод салмин артур григориевич;12
3122;Перевод (Найм) - Салмин Артур Григорьевич;HR: Приём;Перевод (Найм) - Салмин Артур Григорьевич;перевод наём салмин артур григориевич;1
3123;Перевод (Увольнение) - Салмин Артур Григорьевич;HR: Техническое увольнение;Перевод (Увольнение) - Салмин Артур Григорьевич;перевод увольнение салмин артур григориевич;2
